Source = 0, Local odds = 0.4, Reward = 0, Time = 68.28115, 
Source = 0, Local odds = 0.4, Reward = 1, Time = 72.19722, 
Source = 0, Local odds = 0.4, Reward = 0, Time = 78.68534, 
Source = 0, Local odds = 0.4, Reward = 0, Time = 99.05141, 
Source = 0, Local odds = 0.4, Reward = 0, Time = 108.2214, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 52.4074, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 69.9507, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 101.2771, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 110.8453, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 129.0563, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 330.2779, 
Source = 1, Local odds = 0.4, Reward = 1, Time = 11.38681, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 19.37345, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 202.8585, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 209.0053, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 217.6613, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 230.3621, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 241.1805, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 245.5385, 
Source = 1, Local odds = 0.55, Reward = 0, Time = 247.5385, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 251.1635, 
Source = 1, Local odds = 0.55, Reward = 1, Time = 261.4918, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 12.9173, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 18.61828, 
Source = 0, Local odds = 0.55, Reward = 1, Time = 60.42222, 
Source = 0, Local odds = 0.55, Reward = 1, Time = 79.0214, 
Source = 0, Local odds = 0.55, Reward = 0, Time = 82.40827, 
Source = 0, Local odds = 0.55, Reward = 1, Time = 85.5734, 
Source = 0, Local odds = 0.55, Reward = 1, Time = 89.23942, 
Source = 0, Local odds = 0.55, Reward = 1, Time = 92.33212, 
Source = 0, Local odds = 0.55, Reward = 0, Time = 99.23971, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 130.7957, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 142.4906, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 148.1658, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 150.1972, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 152.4184, 
Source = 1, Local odds = 0.45, Reward = 1, Time = 154.5291, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 156.9945, 
Source = 1, Local odds = 0.45, Reward = 0, Time = 159.7601, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 176.8304, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 182.6941, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 184.7141, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 195.0316, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 204.2385, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 210.4371, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 214.5895, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 220.6642, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 225.8778, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 232.9587, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 37.37384, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 41.25414, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 44.12949, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 46.7733, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 49.72696, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 55.01337, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 57.7338, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 63.40957, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 66.90834, 
Source = 1, Local odds = 0.5, Reward = 1, Time = 10.71228, 
Source = 1, Local odds = 0.5, Reward = 0, Time = 13.04233, 
Source = 1, Local odds = 0.5, Reward = 0, Time = 16.46285, 
Source = 1, Local odds = 0.5, Reward = 1, Time = 21.13845, 
Source = 1, Local odds = 0.5, Reward = 1, Time = 24.63721, 
Source = 1, Local odds = 0.5, Reward = 1, Time = 27.66845, 
Source = 1, Local odds = 0.5, Reward = 1, Time = 32.41042, 
Source = 1, Local odds = 0.5, Reward = 0, Time = 35.28642, 
Source = 1, Local odds = 0.5, Reward = 0, Time = 39.17346, 
Source = 1, Local odds = 0.5, Reward = 0, Time = 42.59467, 
Source = 1, Local odds = 0.5, Reward = 0, Time = 44.92669, 
Source = 2, Local odds = 0.55, Reward = 0, Time = 52.09064, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 57.69901, 
Source = 3, Local odds = 0.45, Reward = 1, Time = 63.76297, 
Source = 3, Local odds = 0.45, Reward = 0, Time = 65.93954, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 135.4945, 
