Source = 0, Local odds = 0.6, Reward = 1, Time = 65.74483, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 71.02759, 
Source = 0, Local odds = 0.6, Reward = 1, Time = 78.13576, 
Source = 0, Local odds = 0.6, Reward = 0, Time = 84.63189, 
Source = 2, Local odds = 0.5, Reward = 0, Time = 112.674, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 120.9041, 
Source = 2, Local odds = 0.5, Reward = 1, Time = 126.5133, 
Source = 3, Local odds = 0.65, Reward = 1, Time = 47.39473, 
Source = 3, Local odds = 0.65, Reward = 1, Time = 60.99239, 
Source = 3, Local odds = 0.65, Reward = 0, Time = 30.92645, 
Source = 3, Local odds = 0.65, Reward = 0, Time = 36.87605, 
Source = 3, Local odds = 0.65, Reward = 1, Time = 55.56773, 
Source = 3, Local odds = 0.55, Reward = 1, Time = 18.79473, 
Source = 3, Local odds = 0.55, Reward = 1, Time = 24.43883, 
Source = 3, Local odds = 0.6, Reward = 1, Time = 9.260541, 
Source = 3, Local odds = 0.6, Reward = 1, Time = 14.3183, 
Source = 3, Local odds = 0.6, Reward = 0, Time = 19.7159, 
Source = 3, Local odds = 0.6, Reward = 1, Time = 24.80943, 
Source = 3, Local odds = 0.6, Reward = 1, Time = 29.85627, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 38.45276, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 43.84925, 
Source = 0, Local odds = 0.65, Reward = 0, Time = 49.31223, 
Source = 0, Local odds = 0.65, Reward = 0, Time = 54.73286, 
Source = 3, Local odds = 0.65, Reward = 0, Time = 9.901435, 
Source = 3, Local odds = 0.65, Reward = 1, Time = 15.36491, 
Source = 3, Local odds = 0.65, Reward = 0, Time = 21.70655, 
Source = 3, Local odds = 0.5, Reward = 1, Time = 15.42018, 
Source = 3, Local odds = 0.5, Reward = 1, Time = 9.194141, 
Source = 3, Local odds = 0.5, Reward = 1, Time = 15.02966, 
Source = 3, Local odds = 0.65, Reward = 0, Time = 20.72437, 
Source = 3, Local odds = 0.65, Reward = 1, Time = 26.19106, 
Source = 3, Local odds = 0.65, Reward = 1, Time = 31.78739, 
Source = 3, Local odds = 0.65, Reward = 1, Time = 37.57421, 
Source = 3, Local odds = 0.65, Reward = 0, Time = 10.97186, 
Source = 3, Local odds = 0.65, Reward = 0, Time = 16.82325, 
Source = 3, Local odds = 0.65, Reward = 1, Time = 22.39831, 
Source = 3, Local odds = 0.5, Reward = 1, Time = 11.81209, 
Source = 3, Local odds = 0.5, Reward = 1, Time = 17.57582, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 27.22668, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 32.46886, 
Source = 0, Local odds = 0.65, Reward = 1, Time = 37.48847, 
Source = 1, Local odds = 0.6, Reward = 0, Time = 60.46487, 
Source = 1, Local odds = 0.6, Reward = 1, Time = 66.43738, 
Source = 1, Local odds = 0.6, Reward = 0, Time = 80.90089, 
Source = 1, Local odds = 0.6, Reward = 0, Time = 86.55359, 
Source = 1, Local odds = 0.6, Reward = 1, Time = 91.93016, 
Source = 2, Local odds = 0.55, Reward = 1, Time = 139.484, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 106.2585, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 111.7736, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 117.1605, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 122.6902, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 127.9876, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 133.352, 
Source = 2, Local odds = 0.6, Reward = 1, Time = 138.7503, 
Source = 2, Local odds = 0.6, Reward = 0, Time = 145.7465, 
Source = 0, Local odds = 0.55, Reward = 1, Time = 213.7256, 
Source = 0, Local odds = 0.55, Reward = 0, Time = 226.4988, 
Source = 2, Local odds = 0.65, Reward = 1, Time = 17.08131, 
Source = 2, Local odds = 0.65, Reward = 1, Time = 22.12563, 
Source = 2, Local odds = 0.65, Reward = 1, Time = 27.78365, 
Source = 2, Local odds = 0.65, Reward = 1, Time = 33.56852, 
Source = 2, Local odds = 0.65, Reward = 0, Time = 39.04331, 
Source = 2, Local odds = 0.65, Reward = 1, Time = 44.07151, 
Source = 2, Local odds = 0.65, Reward = 1, Time = 49.15738, 
Source = 2, Local odds = 0.65, Reward = 1, Time = 54.54604, 
Source = 2, Local odds = 0.65, Reward = 1, Time = 65.2767, 
Source = 2, Local odds = 0.65, Reward = 1, Time = 70.66924, 
Source = 2, Local odds = 0.65, Reward = 0, Time = 75.97061, 
Source = 2, Local odds = 0.65, Reward = 1, Time = 81.23188, 
Source = 2, Local odds = 0.65, Reward = 0, Time = 115.2296, 
Source = 2, Local odds = 0.65, Reward = 1, Time = 120.5937, 
Source = 2, Local odds = 0.65, Reward = 0, Time = 125.9688, 
Source = 2, Local odds = 0.65, Reward = 1, Time = 131.2183, 
Source = 2, Local odds = 0.65, Reward = 0, Time = 136.7165, 
Source = 2, Local odds = 0.65, Reward = 1, Time = 191.6714, 
Source = 2, Local odds = 0.65, Reward = 1, Time = 198.067, 
Source = 2, Local odds = 0.65, Reward = 0, Time = 270.6058, 
Source = 2, Local odds = 0.65, Reward = 1, Time = 314.0894, 
Source = 2, Local odds = 0.65, Reward = 1, Time = 319.3649, 
