ID= 216, Source = 2, Local odds = 0.6, Reward = 1, Time = 43.95492, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 1, Time = 57.44675, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 1, Time = 65.77589, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 0, Time = 72.40623, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 1, Time = 77.81736, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 1, Time = 84.3896, 
ID= 216, Source = 3, Local odds = 0.65, Reward = 0, Time = 139.8968, 
ID= 216, Source = 3, Local odds = 0.65, Reward = 1, Time = 144.994, 
ID= 216, Source = 3, Local odds = 0.65, Reward = 1, Time = 150.4798, 
ID= 216, Source = 3, Local odds = 0.65, Reward = 1, Time = 155.8438, 
ID= 216, Source = 3, Local odds = 0.65, Reward = 1, Time = 161.2746, 
ID= 216, Source = 3, Local odds = 0.65, Reward = 1, Time = 166.7497, 
ID= 216, Source = 0, Local odds = 0.55, Reward = 1, Time = 193.4013, 
ID= 216, Source = 0, Local odds = 0.55, Reward = 0, Time = 198.9015, 
ID= 216, Source = 0, Local odds = 0.55, Reward = 1, Time = 204.5204, 
ID= 216, Source = 0, Local odds = 0.55, Reward = 0, Time = 209.9509, 
ID= 216, Source = 0, Local odds = 0.55, Reward = 0, Time = 215.5605, 
ID= 216, Source = 0, Local odds = 0.55, Reward = 0, Time = 221.2469, 
ID= 216, Source = 0, Local odds = 0.55, Reward = 1, Time = 227.5522, 
ID= 216, Source = 0, Local odds = 0.55, Reward = 1, Time = 233.3515, 
ID= 216, Source = 0, Local odds = 0.55, Reward = 1, Time = 238.8827, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 1, Time = 261.0348, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 0, Time = 266.5358, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 0, Time = 271.9665, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 0, Time = 277.7419, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 1, Time = 283.5612, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 1, Time = 289.0944, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 0, Time = 294.5223, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 1, Time = 299.9759, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 0, Time = 305.6226, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 1, Time = 311.1819, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 411.9652, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 0, Time = 417.4938, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 423.4908, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 429.2434, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 0, Time = 434.3691, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 1, Time = 459.7038, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 0, Time = 465.1371, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 0, Time = 470.6866, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 0, Time = 476.3984, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 0, Time = 501.7751, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 0, Time = 507.2282, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 0, Time = 512.5698, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 0, Time = 518.5892, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 1, Time = 539.2574, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 0, Time = 545.2778, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 0, Time = 550.3193, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 1, Time = 555.7607, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 0, Time = 561.2139, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 1, Time = 587.1344, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 1, Time = 592.7538, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 0, Time = 604.8044, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 0, Time = 610.368, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 638.2424, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 643.7632, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 649.3605, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 0, Time = 655.3344, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 661.0987, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 667.1188, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 672.3376, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 679.4797, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 0, Time = 684.7715, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 0, Time = 709.5499, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 1, Time = 714.8626, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 1, Time = 720.4707, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 1, Time = 725.8527, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 0, Time = 731.0989, 
ID= 216, Source = 1, Local odds = 0.5, Reward = 1, Time = 736.5066, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 0, Time = 760.5838, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 0, Time = 765.993, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 0, Time = 771.0576, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 1, Time = 791.9996, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 1, Time = 797.6888, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 0, Time = 803.0532, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 1, Time = 808.45, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 1, Time = 813.9364, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 0, Time = 819.3001, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 1, Time = 824.61, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 1, Time = 829.9173, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 1, Time = 835.2368, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 0, Time = 840.8239, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 0, Time = 867.8537, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 1, Time = 873.1976, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 1, Time = 878.5729, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 1, Time = 884.0811, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 1, Time = 889.3217, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 1, Time = 894.7423, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 1, Time = 899.8951, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 0, Time = 905.2043, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 0, Time = 913.1306, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 955.4547, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 960.7057, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 0, Time = 970.0845, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 977.4337, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 982.9333, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 988.2855, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 0, Time = 993.4055, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 999.0358, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 1004.422, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 1009.953, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 1015.506, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 1020.715, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 0, Time = 1044.77, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 1, Time = 1052.677, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 0, Time = 1064.839, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 1, Time = 1070.724, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 1, Time = 1078.665, 
ID= 216, Source = 3, Local odds = 0.55, Reward = 0, Time = 1107.718, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 0, Time = 1132.147, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 0, Time = 1137.481, 
ID= 216, Source = 2, Local odds = 0.6, Reward = 0, Time = 1142.712, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 1171.995, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 1177.306, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 0, Time = 1183.07, 
ID= 216, Source = 0, Local odds = 0.65, Reward = 1, Time = 1192.355, 
