ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 60.3217, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 66.2946, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 71.58063, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 76.84499, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 102.6095, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 108.6518, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 0, Time = 113.9826, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 0, Time = 119.9787, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 125.2439, 
ID= 272_2, Source = 0, Local odds = 0.55, Reward = 1, Time = 150.9435, 
ID= 272_2, Source = 0, Local odds = 0.55, Reward = 0, Time = 156.2616, 
ID= 272_2, Source = 0, Local odds = 0.55, Reward = 1, Time = 162.3146, 
ID= 272_2, Source = 0, Local odds = 0.55, Reward = 0, Time = 168.0446, 
ID= 272_2, Source = 0, Local odds = 0.55, Reward = 0, Time = 173.5337, 
ID= 272_2, Source = 0, Local odds = 0.55, Reward = 0, Time = 179.2191, 
ID= 272_2, Source = 0, Local odds = 0.55, Reward = 1, Time = 184.5372, 
ID= 272_2, Source = 3, Local odds = 0.5, Reward = 1, Time = 212.1464, 
ID= 272_2, Source = 3, Local odds = 0.5, Reward = 0, Time = 217.8725, 
ID= 272_2, Source = 3, Local odds = 0.5, Reward = 1, Time = 223.0405, 
ID= 272_2, Source = 3, Local odds = 0.5, Reward = 0, Time = 228.5373, 
ID= 272_2, Source = 3, Local odds = 0.5, Reward = 1, Time = 233.5594, 
ID= 272_2, Source = 3, Local odds = 0.5, Reward = 1, Time = 238.8101, 
ID= 272_2, Source = 3, Local odds = 0.5, Reward = 0, Time = 244.01, 
ID= 272_2, Source = 3, Local odds = 0.5, Reward = 1, Time = 249.3181, 
ID= 272_2, Source = 3, Local odds = 0.5, Reward = 1, Time = 254.8262, 
ID= 272_2, Source = 3, Local odds = 0.5, Reward = 1, Time = 260.0674, 
ID= 272_2, Source = 3, Local odds = 0.5, Reward = 0, Time = 265.2548, 
ID= 272_2, Source = 3, Local odds = 0.5, Reward = 1, Time = 270.4186, 
ID= 272_2, Source = 3, Local odds = 0.5, Reward = 0, Time = 275.6732, 
ID= 272_2, Source = 3, Local odds = 0.5, Reward = 0, Time = 280.7233, 
ID= 272_2, Source = 3, Local odds = 0.5, Reward = 0, Time = 286.2001, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 312.864, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 318.4955, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 355.3538, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 361.0739, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 366.9922, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 372.3157, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 377.6548, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 382.6873, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 388.2388, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 0, Time = 419.5815, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 426.7702, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 432.8727, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 438.927, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 444.0244, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 449.399, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 454.8293, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 460.1503, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 465.5806, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 471.0096, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 476.096, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 0, Time = 481.4176, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 486.5474, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 0, Time = 491.8351, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 0, Time = 496.8864, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 502.8615, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 0, Time = 509.6796, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 515.1693, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 520.3526, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 525.4951, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 530.8608, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 536.112, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 0, Time = 541.4774, 
ID= 272_2, Source = 1, Local odds = 0.65, Reward = 1, Time = 546.7838, 
ID= 272_2, Source = 3, Local odds = 0.5, Reward = 0, Time = 578.3682, 
ID= 272_2, Source = 3, Local odds = 0.5, Reward = 0, Time = 594.4402, 
ID= 272_2, Source = 3, Local odds = 0.5, Reward = 1, Time = 627.1576, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 667.6931, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 673.1456, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 678.5437, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 684.207, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 689.916, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 695.4362, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 700.8447, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 705.8653, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 711.916, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 717.2358, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 722.8442, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 728.8552, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 734.1596, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 739.2045, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 744.355, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 749.767, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 754.8849, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 760.0464, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 765.3128, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 770.5872, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 775.9846, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 781.0168, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 786.5258, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 791.6, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 796.7515, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 801.9636, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 807.1358, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 812.5944, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 817.6982, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 823.0844, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 828.0923, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 833.4029, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 838.8431, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 843.9869, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 849.1495, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 854.7803, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 859.8555, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 865.0219, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 870.517, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 876.1025, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 881.8798, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 887.3526, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 895.1487, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 900.6352, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 905.9664, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 911.2532, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 916.387, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 921.7052, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 926.9362, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 932.2872, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 0, Time = 937.6621, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 943.3702, 
ID= 272_2, Source = 2, Local odds = 0.6, Reward = 1, Time = 948.9675, 
