ID= 249, Source = 2, Local odds = 0.55, Reward = 0, Time = 74.69186, 
ID= 249, Source = 2, Local odds = 0.55, Reward = 0, Time = 83.23093, 
ID= 249, Source = 2, Local odds = 0.55, Reward = 1, Time = 88.68373, 
ID= 249, Source = 2, Local odds = 0.55, Reward = 0, Time = 94.40321, 
ID= 249, Source = 2, Local odds = 0.55, Reward = 1, Time = 99.83734, 
ID= 249, Source = 2, Local odds = 0.55, Reward = 0, Time = 105.453, 
ID= 249, Source = 2, Local odds = 0.55, Reward = 1, Time = 110.9841, 
ID= 249, Source = 2, Local odds = 0.55, Reward = 1, Time = 116.3625, 
ID= 249, Source = 2, Local odds = 0.55, Reward = 1, Time = 121.7233, 
ID= 249, Source = 1, Local odds = 0.65, Reward = 0, Time = 153.0191, 
ID= 249, Source = 1, Local odds = 0.65, Reward = 0, Time = 158.4281, 
ID= 249, Source = 1, Local odds = 0.65, Reward = 0, Time = 164.0362, 
ID= 249, Source = 1, Local odds = 0.65, Reward = 0, Time = 169.0378, 
ID= 249, Source = 1, Local odds = 0.65, Reward = 1, Time = 174.7311, 
ID= 249, Source = 1, Local odds = 0.65, Reward = 1, Time = 180.6611, 
ID= 249, Source = 1, Local odds = 0.65, Reward = 1, Time = 186.2181, 
ID= 249, Source = 1, Local odds = 0.65, Reward = 1, Time = 191.5789, 
ID= 249, Source = 1, Local odds = 0.65, Reward = 1, Time = 197.1319, 
ID= 249, Source = 0, Local odds = 0.6, Reward = 0, Time = 229.0052, 
ID= 249, Source = 0, Local odds = 0.6, Reward = 0, Time = 234.6809, 
ID= 249, Source = 0, Local odds = 0.6, Reward = 1, Time = 240.135, 
ID= 249, Source = 0, Local odds = 0.6, Reward = 0, Time = 245.5649, 
ID= 249, Source = 0, Local odds = 0.6, Reward = 0, Time = 251.2393, 
ID= 249, Source = 0, Local odds = 0.6, Reward = 1, Time = 256.9367, 
ID= 249, Source = 0, Local odds = 0.6, Reward = 0, Time = 262.5795, 
ID= 249, Source = 0, Local odds = 0.6, Reward = 1, Time = 268.1757, 
ID= 249, Source = 0, Local odds = 0.6, Reward = 0, Time = 273.5733, 
ID= 249, Source = 0, Local odds = 0.6, Reward = 0, Time = 278.9039, 
ID= 249, Source = 0, Local odds = 0.6, Reward = 0, Time = 284.3791, 
ID= 249, Source = 0, Local odds = 0.6, Reward = 1, Time = 289.7437, 
ID= 249, Source = 0, Local odds = 0.6, Reward = 1, Time = 295.1072, 
ID= 249, Source = 3, Local odds = 0.5, Reward = 0, Time = 322.7718, 
ID= 249, Source = 3, Local odds = 0.5, Reward = 0, Time = 328.2366, 
ID= 249, Source = 3, Local odds = 0.5, Reward = 1, Time = 333.6878, 
ID= 249, Source = 3, Local odds = 0.5, Reward = 1, Time = 339.3302, 
ID= 249, Source = 3, Local odds = 0.5, Reward = 1, Time = 345.1162, 
ID= 249, Source = 3, Local odds = 0.5, Reward = 1, Time = 351.7582, 
ID= 249, Source = 3, Local odds = 0.5, Reward = 1, Time = 357.1544, 
